IP:Port,Loss,Latency
162.159.195.156:894,0%,135.76
162.159.195.22:2506,0%,136.18
162.159.195.22:942,0%,136.20
162.159.195.178:3854,0%,136.23
162.159.195.85:988,0%,136.27
162.159.195.145:1014,0%,136.53
162.159.195.105:968,0%,136.68
162.159.195.3:8886,0%,136.77
162.159.195.38:1070,0%,136.79
162.159.195.25:2371,0%,136.97
162.159.195.180:4500,0%,137.04
162.159.195.3:5956,0%,137.15
162.159.195.178:854,0%,137.24
162.159.195.180:903,0%,137.33
162.159.195.14:4198,0%,137.40
162.159.195.46:4233,0%,137.68
162.159.195.147:8886,0%,137.74
162.159.195.233:891,0%,137.78
162.159.195.189:1843,0%,137.84
162.159.195.39:7103,0%,137.95
162.159.195.38:1843,0%,138.13
162.159.195.191:3476,0%,138.36
162.159.192.40:1843,0%,138.40
162.159.195.3:4500,0%,138.40
162.159.195.119:4500,0%,138.55
162.159.195.219:7156,0%,138.65
162.159.195.250:2506,0%,138.89
162.159.195.147:4233,0%,138.94
162.159.195.238:1843,0%,138.96
162.159.195.33:928,0%,138.97
162.159.195.121:3476,0%,138.98
162.159.195.25:1010,0%,138.99
162.159.195.54:4233,0%,139.33
162.159.195.119:1387,0%,139.72
162.159.195.212:864,0%,139.88
162.159.195.87:2408,0%,140.41
162.159.195.45:891,0%,141.12
162.159.195.238:945,0%,141.42
162.159.195.18:1074,0%,145.96
162.159.195.56:1843,0%,146.24
162.159.195.5:8319,0%,146.27
162.159.195.26:1018,0%,146.40
162.159.195.156:7559,0%,146.47
162.159.195.119:890,0%,146.48
162.159.195.147:1074,0%,146.54
162.159.195.192:3476,0%,146.64
162.159.195.53:891,0%,146.77
162.159.195.241:7103,0%,146.81
162.159.195.232:864,0%,147.19
162.159.195.56:4177,0%,147.26
162.159.195.213:2506,0%,147.93
162.159.195.106:4500,0%,148.46
162.159.195.192:903,0%,148.57
162.159.195.122:2371,0%,149.39
162.159.195.232:1018,0%,149.63
162.159.195.53:1070,0%,149.80
162.159.195.4:1070,0%,149.98
162.159.195.127:1843,0%,150.47
162.159.195.141:908,0%,150.88
162.159.195.253:968,0%,151.64
162.159.195.7:8742,0%,154.06
162.159.195.208:3854,0%,154.23
162.159.195.59:955,0%,154.24
162.159.195.174:4198,0%,154.26
162.159.195.12:955,0%,154.44
162.159.195.218:8854,0%,154.54
162.159.195.50:943,0%,154.68
162.159.195.108:864,0%,154.73
162.159.195.20:1018,0%,154.78
162.159.195.60:7152,0%,154.79
162.159.195.36:1074,0%,154.83
162.159.195.188:3138,0%,154.91
162.159.195.59:8854,0%,154.93
162.159.195.32:1014,0%,155.01
162.159.195.98:943,0%,155.08
162.159.195.131:7103,0%,155.11
162.159.195.4:939,0%,155.15
162.159.195.17:1070,0%,155.15
162.159.195.117:987,0%,155.27
162.159.195.254:3138,0%,155.34
162.159.195.116:928,0%,155.40
162.159.195.67:8854,0%,155.52
162.159.195.140:891,0%,155.55
162.159.195.35:8742,0%,155.60
162.159.195.152:987,0%,155.67
162.159.195.138:908,0%,155.69
162.159.195.77:945,0%,155.72
162.159.195.32:8742,0%,155.73
162.159.195.166:859,0%,155.77
162.159.195.69:943,0%,155.83
162.159.195.198:987,0%,155.89
162.159.195.138:928,0%,156.51
162.159.195.164:7156,0%,156.64
162.159.195.149:5279,0%,156.72
162.159.195.234:955,0%,156.95
162.159.195.183:908,0%,157.12
162.159.195.6:1002,0%,157.30
162.159.195.240:8886,0%,157.76
162.159.195.151:3854,0%,157.90
162.159.195.206:1002,0%,158.32
162.159.195.57:4198,0%,158.41
162.159.195.149:1014,0%,158.53
162.159.195.157:1070,0%,158.64
162.159.195.91:987,0%,158.65
162.159.195.8:1070,0%,158.68
162.159.195.131:894,0%,158.88
162.159.195.140:968,0%,158.91
162.159.195.101:988,0%,158.93
162.159.195.248:890,0%,159.31
162.159.195.202:955,0%,159.32
162.159.195.114:928,0%,159.45
162.159.195.11:8319,0%,159.73
162.159.195.224:8742,0%,159.88
162.159.195.150:864,0%,160.13
162.159.195.234:500,0%,160.64
162.159.195.200:1014,0%,162.68
162.159.195.137:7103,0%,162.71
162.159.195.235:4500,0%,163.49
162.159.195.77:1180,0%,163.52
162.159.195.109:1070,0%,163.71
162.159.195.113:939,0%,165.04
162.159.195.73:5956,0%,165.38
162.159.195.114:3476,0%,165.50
162.159.195.73:1701,0%,167.63
162.159.195.201:854,0%,171.28
162.159.195.200:8742,0%,172.95
188.114.97.36:1074,0%,196.73
188.114.98.188:942,0%,197.02
188.114.97.64:894,0%,197.07
188.114.99.133:4233,0%,197.11
188.114.98.106:4198,0%,197.13
188.114.99.28:7281,0%,197.26
188.114.98.40:891,0%,197.33
188.114.99.147:5279,0%,197.34
188.114.97.196:939,0%,197.37
188.114.98.65:8886,0%,197.41
188.114.97.117:880,0%,197.45
188.114.96.226:7559,0%,197.56
188.114.96.87:903,0%,197.60
188.114.98.160:4500,0%,197.61
188.114.99.107:3854,0%,197.63
188.114.97.127:7156,0%,197.67
188.114.99.43:4500,0%,197.70
188.114.97.19:955,0%,197.72
188.114.99.111:864,0%,197.72
188.114.99.220:4177,0%,197.75
188.114.97.234:942,0%,197.77
188.114.96.229:500,0%,197.79
188.114.97.61:955,0%,197.87
188.114.99.33:2408,0%,197.89
188.114.99.48:864,0%,197.92
188.114.96.79:3138,0%,197.93
188.114.97.36:908,0%,198.08
188.114.99.27:864,0%,198.11
188.114.96.36:928,0%,198.20
188.114.99.163:878,0%,198.25
188.114.98.50:7103,0%,198.25
188.114.96.90:8742,0%,198.28
188.114.97.109:894,0%,198.29
188.114.98.241:500,0%,198.30
188.114.98.61:1180,0%,198.31
